image_id,latitude,longitude
1241778479611899.jpg,33.9812699519,-6.8576313648
462714855022385.jpg,33.9812664315,-6.8575096596
325984308929118.jpg,33.9816897176,-6.8572252616
3810339342428626.jpg,33.9810593985,-6.8577079754
184473883533890.jpg,33.9811982866,-6.8575695902
1577803572409238.jpg,33.9814551082,-6.8573509064
1294434764328800.jpg,33.981267605,-6.857602112
1500213676976240.jpg,33.9813313074,-6.8575321231
251060776788881.jpg,33.9813937526,-6.8574018683
131292269041646.jpg,33.9810603205,-6.857841583
226493072610768.jpg,33.9815123565,-6.8573030457
376249917042477.jpg,33.9815834351,-6.8573489785
1212203365875382.jpg,33.9815173857,-6.8573592044
198400175314737.jpg,33.9815763943,-6.8573129363
3942119879205729.jpg,33.9814565331,-6.8574100826
771310927082157.jpg,33.9810593985,-6.8577079754
801503614083561.jpg,33.9816958364,-6.8572559394
177017684299609.jpg,33.9811288007,-6.8576365616
501945267912670.jpg,33.9811982866,-6.8575695902
483343206321215.jpg,33.9813317265,-6.857454842
917833085663556.jpg,33.976142062045,-6.8621490790486
901082290469369.jpg,33.9816400968,-6.8573036324
890670781782091.jpg,33.9815123565,-6.8573030457
357840242341151.jpg,33.981107916934,-6.8573824931864
891439031406366.jpg,33.9815656655,-6.8572537601
476535306955725.jpg,33.9811311476,-6.8577699177
300676341563310.jpg,33.9810640085,-6.8578224722
147067647432605.jpg,33.9803028479,-6.8579761963
494857654896434.jpg,33.9812013879,-6.857699845
488956079111627.jpg,33.981201481881,-6.8572969488119
776310299753120.jpg,33.9812019747,-6.8576760404
849670235640887.jpg,33.9811288007,-6.8576365616
915026059044683.jpg,33.9815250132,-6.8573971745
197018005593551.jpg,33.9808849711,-6.8623154238
892522634640377.jpg,33.9815656655,-6.8572537601
800060707302446.jpg,33.9808841329,-6.8620078918
941580219937660.jpg,33.9813937526,-6.8574018683
814526685825078.jpg,33.9811339136,-6.8577503879
754840455163180.jpg,33.9816331398,-6.8572699372
2266304446833835.jpg,33.9808770921,-6.8622229714
979824746089740.jpg,33.9813367557,-6.8575665727
823564388288497.jpg,33.9814017992,-6.8575073127
162892245767619.jpg,33.9808819536,-6.8622527272
196867422270383.jpg,33.9808937721,-6.8624038529
520403392703838.jpg,33.9813317265,-6.857454842
999509103916574.jpg,33.9812664315,-6.8575096596
533990377610612.jpg,33.9814551082,-6.8573509064
1121265745019097.jpg,33.9808516111,-6.8619416747
520503882293402.jpg,33.9814642444,-6.8574502319
883273285590291.jpg,33.9813944232,-6.8574675824
228454639079023.jpg,33.9809019025,-6.8624866661
323015639457077.jpg,33.9809194207,-6.8623216264
201877111620905.jpg,33.980868794,-6.8621278368
502773411075036.jpg,33.9808926824,-6.8621167727
1134440026968276.jpg,33.9759788755,-6.8620259967
238836901350455.jpg,33.9759563282,-6.8620684929
242149234364760.jpg,33.9809065126,-6.8622186128
204445374656077.jpg,33.9760372974,-6.8619178701
976202469782025.jpg,33.9808849711,-6.8623154238
1453286061706130.jpg,33.9809097815,-6.8625657074
489444492314794.jpg,33.9808966219,-6.8624330219
221203889418509.jpg,33.9808735717,-6.8621563353
461213644975017.jpg,33.9809272997,-6.862484822
1860290274125830.jpg,33.9808655251,-6.8620585185
137873394993416.jpg,33.9802480303,-6.8585064355
495426238467628.jpg,33.9809019025,-6.8624866661
319351709627355.jpg,33.9809040818,-6.8625140749
4075593965819420.jpg,33.9808937721,-6.8624038529
4261620323868734.jpg,33.9809332509,-6.8625553977
569484190702335.jpg,33.9809097815,-6.8625657074
789587251946752.jpg,33.9808575623,-6.8619586062
835906770346727.jpg,33.976216995054,-6.8621317871414
974609356617626.jpg,33.9759653807,-6.8620478734
289899906184674.jpg,33.976008326899,-6.8622139002053
511124353406276.jpg,33.9808516111,-6.8619416747
480770303234319.jpg,33.975999,-6.862032
471327497282384.jpg,33.975967665679,-6.8620471271605
199121815264340.jpg,33.976426394397,-6.8619951931034
511394080002353.jpg,33.9808611665,-6.8620368931
967985273741729.jpg,33.9808770921,-6.8622229714
1203356076764753.jpg,33.979954678571,-6.8582725333333
283586740157557.jpg,33.9759903587,-6.8620064668
459783495117189.jpg,33.976049103535,-6.861905619697
369380131184196.jpg,33.9808892459,-6.8623460177
3233543366748177.jpg,33.980868794,-6.8621278368
306947931040870.jpg,33.976077146647,-6.8621747906907
479565639792764.jpg,33.976343010968,-6.8620958892292
4009803752437888.jpg,33.976285189911,-6.8621182053412
695495411165872.jpg,33.976386633268,-6.8620605726555
956028258479745.jpg,33.9808611665,-6.8620368931
1401609923541631.jpg,33.9801972359,-6.8585510273
933815287392707.jpg,33.9809244499,-6.8624053616
470039557555913.jpg,33.975997604119,-6.8619896453111
1165465467251815.jpg,33.9759583399,-6.8620579317
488147325710252.jpg,33.9759984892,-6.8619912956
147300904083799.jpg,33.979735513978,-6.8584829537634
148752173896143.jpg,33.979661232136,-6.858543548503
314664700069780.jpg,33.9760167617,-6.8619653117
1346233069082459.jpg,33.9802248124,-6.858540047
249006307013221.jpg,33.979868723771,-6.858349872016
1782355288613671.jpg,33.98022244984,-6.8581992186096
460692285007505.jpg,33.979755,-6.858452
197013228915821.jpg,33.979858591167,-6.8585488575791
195403345742606.jpg,33.980080748749,-6.8581455406406
498714654599472.jpg,33.9798128419,-6.8584400509
464485771298341.jpg,33.980176605067,-6.8580627185109
370184551075595.jpg,33.9803013392,-6.8584998138
296781898655436.jpg,33.980108,-6.858115
2616808441951279.jpg,33.97977977,-6.85843356
177646850901675.jpg,33.9803013392,-6.8584998138
4158008927584544.jpg,33.979967462014,-6.8582555477567
2808092682777344.jpg,33.9818870276,-6.8641938921
2886958024919309.jpg,33.9802878443,-6.8584817089
1224985084624166.jpg,33.9817527495,-6.863960037
504674004002054.jpg,33.980272557432,-6.8579724084934
180820453928277.jpg,33.9801972359,-6.8585510273
339958034188009.jpg,33.98351715,-6.8632819875
464056024658288.jpg,33.980134254379,-6.858282196945
317497453086171.jpg,33.981541273251,-6.8641580954733
936735486899528.jpg,33.979947244943,-6.8584623159351
163093452486072.jpg,33.9802480303,-6.8585064355
546350826377164.jpg,33.979869701726,-6.8583530792848
1078138986043844.jpg,33.9818442799,-6.864131866
2569987506639139.jpg,33.980275090361,-6.857958238755
481006043325359.jpg,33.9802994952,-6.8584579043
468928064189549.jpg,33.980038000686,-6.8583750163565
2398682893609592.jpg,33.9818690903,-6.864126334
478141776633174.jpg,33.9800646342,-6.8582042679
941095486431327.jpg,33.980066893687,-6.8581663382187
472416017206686.jpg,33.9803063683,-6.8585047591
935826697215399.jpg,33.9799424261,-6.8583198544
2941146956162853.jpg,33.9819941483,-6.8643180281
306475157734700.jpg,33.981588450195,-6.8641228587549
461290824967331.jpg,33.9803231639,-6.8581048196911
4125758947515375.jpg,33.9802994952,-6.8584579043
170110618359731.jpg,33.9817527495,-6.863960037
174688254543634.jpg,33.9819830842,-6.8643155135
2390037301139707.jpg,33.979070596185,-6.8664695895582
318340419651155.jpg,33.980174391036,-6.8580548910359
138388538221548.jpg,33.9820156898,-6.8643776234
1417525221962156.jpg,33.981804099586,-6.8641189468459
214718187082282.jpg,33.9817628078,-6.8640194647
